,Unnamed: 0,id,scrape_id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,availability_365,number_of_reviews
0,0,35797,20240925021012,153786,1.0,0.99,1.0,1.0,19.38382,-99.2,2.0,1.0,1.0,1.0,1026.3,1.0,7,1.0,7.0,28,88,363,0.0
1,1,44616,20240925021012,196253,1.0,0.93,12.0,13.0,19.41162,-99.17794,2.9,1.4748595090209995,1.4,1.9678361335646877,999.0,1.0,365,1.0,365.0,1,54,325,64.0
2,2,67703,20240925021012,334451,1.0,1.0,3.0,4.0,19.41152,-99.16857,4.0,1.0,2.0,2.0,2029.0,2.0,30,2.0,30.0,3,50,325,49.0
3,3,70644,20240925021012,212109,1.0,1.0,3.0,4.0,19.35614,-99.16308,2.0,1.0,1.0,1.0,1140.0,1.6,180,3.7,180.0,7,57,257,127.0
4,4,107078,20240925021012,540705,1.0,1.0,5.0,7.0,19.43211,-99.19327,2.0,1.5,1.0,1.0,1026.3,1.0,365,1.0,1125.0,9,20,275,11.0
5,5,131610,20240925021012,647454,1.0,0.99,3.0,4.0,19.35416,-99.16488,2.0,1.4748595090209995,2.0,1.9678361335646877,999.0,1.0,730,1.0,730.0,0,0,0,0.0
6,6,165772,20240925021012,790208,1.0,0.98,7.0,8.0,19.40826,-99.18659,2.9,1.4,1.4,1.6,1026.3,2.0,365,2.0,365.0,9,30,230,27.0
7,7,171109,20240925021012,816295,1.0,1.0,2.0,2.0,19.39675,-99.17581,2.0,1.0,1.0,1.0,335.0,1.6,90,4.0,90.0,0,40,315,108.0
8,8,1001517,20240925021012,5507751,1.0,0.95,3.0,3.0,19.3461,-99.15911,6.0,1.4748595090209995,2.0,1.9678361335646877,999.0,2.0,365,2.0,365.0,0,0,158,81.0
9,9,1011428,20240925021012,5307709,1.0,1.0,1.0,2.0,19.34326,-99.19303,6.0,1.4,3.0,3.0,1026.3,1.6,90,1.8,90.0,29,85,353,24.0
10,10,1013504,20240925021012,1664327,1.0,1.0,2.0,2.0,19.34034,-99.18345,1.0,1.5,1.0,1.0,384.0,3.0,200,2.6,200.0,1,17,292,71.0
11,11,1051636,20240925021012,22366411,1.0,0.99,2.0,2.0,19.40592,-99.1691,1.0,1.0,1.0,1.0,947.0,2.0,1125,2.0,1125.0,30,90,365,30.0
12,12,1066945,20240925021012,5870021,1.0,1.0,5.0,5.0,19.35445,-99.16251,2.0,1.0,1.0,1.0,1200.0,2.0,365,2.0,365.0,0,44,292,27.0
13,13,1087636,20240925021012,5975456,1.0,1.0,2.0,2.0,19.4,-99.18356,1.0,1.0,1.0,3.0,526.0,1.0,14,1.0,14.0,21,81,356,49.0
14,14,1164876,20240925021012,212109,1.0,1.0,3.0,4.0,19.35164,-99.15289,6.0,3.5,3.0,3.0,1026.3,1.6,21,1.8,21.0,23,83,173,6.0
15,15,1167552,20240925021012,6393641,1.0,1.0,1.0,3.0,19.41317,-99.15735,2.0,1.5,1.0,2.0,750.0,2.0,28,2.0,1125.0,0,30,30,27.0
16,16,1170780,20240925021012,6409883,1.0,1.0,2.0,2.0,19.39129,-99.1888,2.0,1.0,1.0,1.0,406.0,3.0,1125,3.0,1125.0,0,0,0,17.0
17,17,180808,20240925021012,36836,1.0,0.96,2.0,8.0,19.4239,-99.1689,2.0,1.5,1.0,1.0,1642.0,3.0,365,3.0,1125.0,6,66,341,52.0
18,18,187030,20240925021012,899360,1.0,1.0,6.0,8.0,19.41057,-99.1773,4.0,1.4748595090209995,1.0,1.9678361335646877,999.0,1.6,365,4.0,365.0,0,0,0,104.0
19,19,187745,20240925021012,899360,1.0,1.0,6.0,8.0,19.41057,-99.1773,3.0,1.4748595090209995,1.0,1.9678361335646877,999.0,1.6,365,1.8,365.0,0,0,0,24.0
20,20,194937,20240925021012,899360,1.0,1.0,6.0,8.0,19.41057,-99.1773,2.0,1.0,1.0,1.0,1026.3,1.0,180,1.0,1125.0,0,16,16,77.0
21,21,198778,20240925021012,970609,1.0,1.0,2.0,5.0,19.41412,-99.17891,3.0,1.0,2.0,2.0,800.0,2.0,365,2.0,365.0,7,8,250,27.0
22,22,1187817,20240925021012,4326326,1.0,1.0,6.0,7.0,19.40915,-99.17321,3.0,1.0,1.0,1.0,900.0,1.6,360,1.8,360.0,0,0,119,48.0
23,23,1211383,20240925021012,212109,1.0,1.0,3.0,4.0,19.355,-99.16181,2.0,1.4748595090209995,1.5696453569762017,1.9678361335646877,999.0,1.6,21,5.0,21.0,0,0,0,20.0
24,24,1226234,20240925021012,6688806,1.0,0.99,1.0,1.0,19.42851,-99.19298,4.0,1.5,2.0,2.0,1026.3,1.6,45,1.8,45.0,0,41,53,21.0
25,25,1236668,20240925021012,5525131,1.0,1.0,3.0,17.0,19.4336,-99.13224,4.0,2.0,3.0,0.0,1063.0,3.0,1125,3.0,1125.0,22,73,348,21.0
26,26,1283294,20240925021012,5755202,1.0,0.97,6.2,7.3,19.42801,-99.16467,4.0,1.0,1.0,2.0,1447.0,3.0,1000,3.0,1125.0,25,82,82,27.0
27,27,1286695,20240925021012,6998716,1.0,1.0,1.0,1.0,19.43514,-99.18361,2.0,1.0,1.0,1.0,1068.0,1.6,1125,1.8,1125.0,23,37,214,32.0
28,28,1288566,20240925021012,540705,1.0,1.0,5.0,7.0,19.43179,-99.19426,2.0,1.5,1.0,1.0,1026.3,1.0,1125,1.8,1125.0,18,39,302,27.0
29,29,1309198,20240925021012,7116734,1.0,0.97,6.0,10.0,19.34356,-99.1286,2.0,1.0,1.0,1.0,500.0,2.0,1125,2.0,1125.0,0,0,267,2.0
30,30,1363110,20240925021012,6409883,1.0,1.0,2.0,2.0,19.39165,-99.18885,2.0,1.0,1.0,1.0,406.0,3.0,1125,3.0,1125.0,0,0,0,26.0
31,31,204887,20240925021012,998053,1.0,1.0,1.0,3.0,19.4059,-99.17548,2.0,1.0,1.0,1.0,780.0,3.0,1125,3.0,1125.0,0,47,322,29.0
32,32,245507,20240925021012,1288063,1.0,0.99,12.0,13.0,19.4236,-99.16979,3.0,1.0,1.0,2.0,950.0,1.0,90,1.0,1125.0,9,69,344,27.0
33,33,246057,20240925021012,1288063,1.0,0.99,12.0,13.0,19.42335,-99.16963,2.0,1.0,1.0,1.0,991.0,1.0,90,1.0,1125.0,0,30,305,27.0
34,34,247543,20240925021012,1297488,1.0,1.0,2.0,7.0,19.43516,-99.13806,1.0,1.0,1.0,1.0,676.0,3.0,30,3.0,30.0,14,47,300,134.0
35,35,252618,20240925021012,1326107,1.0,1.0,5.0,7.0,19.41472,-99.15602,1.0,1.0,1.0,2.0,344.0,1.6,365,4.0,1125.0,0,11,247,22.0
36,36,256555,20240925021012,790208,1.0,0.98,7.0,8.0,19.40674,-99.18753,2.9,1.4,1.4,1.6,1026.3,2.0,365,2.0,365.0,9,30,259,27.0
37,37,271048,20240925021012,1417206,1.0,1.0,1.0,2.0,19.42485,-99.17797,2.0,0.0,0.0,1.0,800.0,1.6,365,5.0,365.0,0,0,267,13.0
38,38,276504,20240925021012,1444589,1.0,0.99,1.0,1.0,19.38229,-99.12744,2.0,1.4748595090209995,1.5696453569762017,1.9678361335646877,999.0,1.6,365,1.8,365.0,0,0,0,0.0
39,39,1378164,20240925021012,2492211,1.0,0.99,1.0,1.0,19.39829,-99.13817,2.0,1.0,1.0,1.0,800.0,1.6,150,1.8,150.0,27,87,87,36.0
40,40,1403168,20240925021012,7569372,1.0,1.0,1.0,3.0,19.40288,-99.17884,2.0,2.0,1.0,1.0,618.0,2.0,1125,2.0,1125.0,30,90,365,2.0
41,41,1403218,20240925021012,3777702,1.0,1.0,10.0,11.0,19.44324,-99.14649,2.9,1.4,1.4,1.6,1026.3,1.0,1125,1.0,1125.0,9,53,316,27.0
42,42,1404363,20240925021012,5341352,1.0,1.0,3.0,5.0,19.38015,-99.17402,2.0,1.0,0.0,2.0,800.0,1.6,1125,4.0,1125.0,3,34,309,133.0
43,43,1411454,20240925021012,7609684,1.0,1.0,7.0,7.0,19.41701,-99.1658,2.0,1.0,1.0,1.0,1318.0,3.0,1125,3.0,1125.0,6,55,145,27.0
